Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
001180 Massachusetts Life Sciences Center,Grants,On Campus,12,,"26,273","9,590","15,615","28,828","80,305"
001180 Massachusetts Life Sciences Center,Total by Primary Sponsor,,12,,"26,273","9,590","15,615","28,828","80,305"
"001181 Centre de Recherche Public Henri
Tudor",Contracts,On Campus,7,"13,588","7,933","2,896","8,426","13,673","46,516"
"001181 Centre de Recherche Public Henri
Tudor",Total by Primary Sponsor,,7,"13,588","7,933","2,896","8,426","13,673","46,516"
001220 Transport for London,Contracts,Off Campus,9,"7,348",,,"10,110","-2,665","14,793"
001220 Transport for London,Contracts,On Campus,10,"138,117","256,511","85,871","167,331","287,414","935,244"
001220 Transport for London,Total by Primary Sponsor,,19,"145,466","256,511","85,871","177,441","284,750","950,037"
001275 The World Bank,Contracts,On Campus,1,,,,,,0
001275 The World Bank,Total by Primary Sponsor,,1,,,,,,0
"001290 Australian Agency for International
Development",Grants,On Campus,13,,"47,231","14,124","638,099","111,614","811,067"
"001290 Australian Agency for International
Development",Total by Primary Sponsor,,13,,"47,231","14,124","638,099","111,614","811,067"
"001295 Texas Commission on Environmenta
Quality",Grants,On Campus,5,,"6,362","2,322","1,978","1,066","11,729"
"001295 Texas Commission on Environmenta
Quality",Total by Primary Sponsor,,5,,"6,362","2,322","1,978","1,066","11,729"
002067 Amgen,Contracts,On Campus,8,,"33,276","12,146",162,"24,720","70,303"
002067 Amgen,Total by Primary Sponsor,,8,,"33,276","12,146",162,"24,720","70,303"
002083 Alcatel -Lucent,Contracts,On Campus,12,0,"4,397","1,605",-21,"3,174","9,155"
002083 Alcatel -Lucent,Total by Primary Sponsor,,12,0,"4,397","1,605",-21,"3,174","9,155"
"002109 American Telephone & Telegraph, Company",Grants,On Campus,3,,,,"8,451","4,733","13,184"
"002109 American Telephone & Telegraph, Company",Total by Primary Sponsor,,3,,,,"8,451","4,733","13,184"
"002132 Analog Devices, Incorporated",Contracts,On Campus,39,"79,042","41,607","13,016","78,590","91,136","303,391"
"002132 Analog Devices, Incorporated",Total by Primary Sponsor,,39,"79,042","41,607","13,016","78,590","91,136","303,391"
002171 ABB Corporate Research Limited,Contracts,On Campus,69,"55,247","66,556","21,677","81,445","88,023","312,947"
002171 ABB Corporate Research Limited,Grants,On Campus,8,,"14,592","5,273","2,145","11,261","33,271"
002171 ABB Corporate Research Limited,Total by Primary Sponsor,,77,"55,247","81,148","26,951","83,590","99,284","346,218"
002199 BASF,Contracts,On Campus,18,"20,389","86,985","30,922","151,281","87,307","376,884"
002199 BASF,Total by Primary Sponsor,,18,"20,389","86,985","30,922","151,281","87,307","376,884"
002218 BP International Limited,Contracts,On Campus,9,"37,280","49,430","12,531","28,080","55,168","182,489"
002218 BP International Limited,Total by Primary Sponsor,,9,"37,280","49,430","12,531","28,080","55,168","182,489"
"002219 BP Exploration, Incorporated",Contracts,On Campus,16,"15,672","108,941","37,554","20,740","89,858","272,764"
"002219 BP Exploration, Incorporated",Total by Primary Sponsor,,16,"15,672","108,941","37,554","20,740","89,858","272,764"
"002223 BP America, Incorporated",Contracts,On Campus,225,"26,472","114,431","37,587","38,970","114,707","332,166"
"002223 BP America, Incorporated",Grants,On Campus,9,,"30,867","7,278",362,"21,564","60,070"
"002223 BP America, Incorporated",Total by Primary Sponsor,,234,"26,472","145,297","44,865","39,331","136,271","392,236"
002231 ARAMCO Services Company,Contracts,On Campus,147,"330,498","585,211","195,857","821,509","757,475","2,690,549"
002231 ARAMCO Services Company,Total by Primary Sponsor,,147,"330,498","585,211","195,857","821,509","757,475","2,690,549"
"002237 American Association of Retired
Persons",Grants,On Campus,4,"1,425",,,"4,197",562,"6,184"
"002237 American Association of Retired
Persons",Total by Primary Sponsor,,4,"1,425",,,"4,197",562,"6,184"
002244 Bell Communications Research Lab,Contracts,On Campus,22,,2,1,20,11,34
002244 Bell Communications Research Lab,Total by Primary Sponsor,,22,,2,1,20,11,34
002260 Aurora Flight Sciences Corporation,Contracts,On Campus,17,,"26,862","9,805",-3,"20,533","57,196"
002260 Aurora Flight Sciences Corporation,Total by Primary Sponsor,,17,,"26,862","9,805",-3,"20,533","57,196"
"002262 Autodesk, Incorporated",Contracts,On Campus,7,"13,393","19,217","6,707","23,388","29,065","91,769"
"002262 Autodesk, Incorporated",Total by Primary Sponsor,,7,"13,393","19,217","6,707","23,388","29,065","91,769"
002300 Boeing,Contracts,On Campus,149,"356,948","501,029","162,598","564,175","619,442","2,204,193"
002300 Boeing,Total by Primary Sponsor,,149,"356,948","501,029","162,598","564,175","619,442","2,204,193"
002314 Robert Bosch Gmbh,Contracts,On Campus,7,"23,812",0,0,"118,473","61,129","203,414"
002314 Robert Bosch Gmbh,Total by Primary Sponsor,,7,"23,812",0,0,"118,473","61,129","203,414"
"002331 Boeing North America, Incorporated",Contracts,On Campus,36,"60,272","11,670","3,268","166,687","48,167","290,064"
"002331 Boeing North America, Incorporated",Total by Primary Sponsor,,36,"60,272","11,670","3,268","166,687","48,167","290,064"
002334 BMW AG,Contracts,On Campus,16,"5,714","36,053","10,068","8,185","32,190","92,210"
002334 BMW AG,Total by Primary Sponsor,,16,"5,714","36,053","10,068","8,185","32,190","92,210"
"002352 British Petroleum Company, Limited",Contracts,On Campus,176,"22,800","27,547","8,232","36,128","42,371","137,077"
"002352 British Petroleum Company, Limited",Total by Primary Sponsor,,176,"22,800","27,547","8,232","36,128","42,371","137,077"
"002354 British Telecommunications, plc",Contracts,On Campus,72,"3,996","4,322","1,578","44,297","25,266","79,459"
"002354 British Telecommunications, plc",Total by Primary Sponsor,,72,"3,996","4,322","1,578","44,297","25,266","79,459"
002410 Cabot Corporation,Contracts,On Campus,6,0,0,0,"-2,073",-676,"-2,749"
002410 Cabot Corporation,Total by Primary Sponsor,,6,0,0,0,"-2,073",-676,"-2,749"
002439 Chevron Energy Technology Compa,Contracts,On Campus,242,"351,293","304,484","89,236","468,687","473,236","1,686,936"
002439 Chevron Energy Technology Compa,Total by Primary Sponsor,,242,"351,293","304,484","89,236","468,687","473,236","1,686,936"
002471 Consolidated Edison,Contracts,On Campus,6,"23,976","32,169","5,301",-187,"38,285","99,544"
002471 Consolidated Edison,Total by Primary Sponsor,,6,"23,976","32,169","5,301",-187,"38,285","99,544"
002491 Colgate Palmolive Company,Contracts,On Campus,5,,"30,871","11,268","17,083","33,164","92,386"
002491 Colgate Palmolive Company,Total by Primary Sponsor,,5,,"30,871","11,268","17,083","33,164","92,386"
"002531 Centre National de la Recherche
Scientifique (CNRS)",Grants,On Campus,7,,"57,671","21,050","65,705","74,879","219,304"
"002531 Centre National de la Recherche
Scientifique (CNRS)",Total by Primary Sponsor,,7,,"57,671","21,050","65,705","74,879","219,304"
"002561 Cisco Systems, Incorporated",Contracts,On Campus,83,"1,896","226,501","77,073","37,310","172,604","515,384"
"002561 Cisco Systems, Incorporated",Total by Primary Sponsor,,83,"1,896","226,501","77,073","37,310","172,604","515,384"
"002594 Commissariate a L'Energie Atomique
(CEA)",Contracts,On Campus,8,"28,273","75,437","16,406","58,978","77,204","256,298"
"002594 Commissariate a L'Energie Atomique
(CEA)",Total by Primary Sponsor,,8,"28,273","75,437","16,406","58,978","77,204","256,298"
002630 Digital Equipment Corporation,Grants,On Campus,24,0,0,0,0,0,0
002630 Digital Equipment Corporation,Total by Primary Sponsor,,24,0,0,0,0,0,0
002670 DSM Research,Contracts,On Campus,11,,"35,459","12,728","31,110","44,407","123,704"
002670 DSM Research,Total by Primary Sponsor,,11,,"35,459","12,728","31,110","44,407","123,704"
002674 Denso International America,Contracts,On Campus,14,"44,274","17,897","6,193","90,637","58,369","217,370"
002674 Denso International America,Total by Primary Sponsor,,14,"44,274","17,897","6,193","90,637","58,369","217,370"
002690 E.I. Du Pont De Nemours & Compan,Contracts,On Campus,806,"34,228","58,603","19,965","64,869","86,522","264,188"
002690 E.I. Du Pont De Nemours & Compan,Total by Primary Sponsor,,806,"34,228","58,603","19,965","64,869","86,522","264,188"
002730 Electric Power Research Institute,Contracts,On Campus,60,"63,714","231,882","74,668","80,706","227,785","678,755"
002730 Electric Power Research Institute,Total by Primary Sponsor,,60,"63,714","231,882","74,668","80,706","227,785","678,755"
002735 East Japan Railway Company,Contracts,On Campus,24,"65,706","66,772","22,631","93,270","94,836","343,215"
002735 East Japan Railway Company,Grants,On Campus,7,,"4,922","1,797","2,576","4,914","14,209"
002735 East Japan Railway Company,Total by Primary Sponsor,,31,"65,706","71,694","24,427","95,846","99,751","357,424"
002741 EDF Electricite De France,Contracts,On Campus,26,"22,050","75,849","24,946","38,143","71,328","232,316"
002741 EDF Electricite De France,Total by Primary Sponsor,,26,"22,050","75,849","24,946","38,143","71,328","232,316"
002756 Enel Produzione S.p.A.,Contracts,On Campus,8,0,0,0,0,0,0
002756 Enel Produzione S.p.A.,Total by Primary Sponsor,,8,0,0,0,0,0,0
002844 Fleet Services Corporation,Contracts,On Campus,22,0,0,0,0,0,0
002844 Fleet Services Corporation,Total by Primary Sponsor,,22,0,0,0,0,0,0
002850 Ford Motor Company,Contracts,Off Campus,4,,0,0,,0,0
002850 Ford Motor Company,Contracts,On Campus,383,"451,887","355,463","123,444","662,455","582,080","2,175,329"
002850 Ford Motor Company,Total by Primary Sponsor,,387,"451,887","355,463","123,444","662,455","582,080","2,175,329"
002871 France Telecom-CNET,Contracts,On Campus,42,0,0,0,0,0,0
002871 France Telecom-CNET,Total by Primary Sponsor,,42,0,0,0,0,0,0
002909 Fraunhofer Gesellschaft,Contracts,On Campus,1,,,,,,0
002909 Fraunhofer Gesellschaft,Total by Primary Sponsor,,1,,,,,,0
002919 GIE PSA Peugeot Citroen,Contracts,On Campus,6,"21,312",0,0,"9,620","11,935","42,866"
002919 GIE PSA Peugeot Citroen,Total by Primary Sponsor,,6,"21,312",0,0,"9,620","11,935","42,866"
002922 Genentech,Contracts,On Campus,7,,"3,938","1,437",-37,"3,010","8,347"
002922 Genentech,Total by Primary Sponsor,,7,,"3,938","1,437",-37,"3,010","8,347"
002940 General Electric Company,Contracts,On Campus,17,"11,644","8,564","3,521","12,333","16,607","52,669"
002940 General Electric Company,Total by Primary Sponsor,,17,"11,644","8,564","3,521","12,333","16,607","52,669"
"002941 General Electric Corporate Research
And Development",Contracts,On Campus,16,"48,933","2,237",842,"45,537","35,558","133,106"
"002941 General Electric Corporate Research
And Development",Total by Primary Sponsor,,16,"48,933","2,237",842,"45,537","35,558","133,106"
002949 DaimlerChrysler AG,Contracts,On Campus,4,,"1,506",422,,"1,079","3,006"
002949 DaimlerChrysler AG,Total by Primary Sponsor,,4,,"1,506",422,,"1,079","3,006"
"002950 DO NOT USE - General Motors
Corporation",Contracts,On Campus,32,0,0,0,0,0,0
"002950 DO NOT USE - General Motors
Corporation",Total by Primary Sponsor,,32,0,0,0,0,0,0
"002958 Dell, Inc.",Contracts,On Campus,7,0,0,0,0,0,0
"002958 Dell, Inc.",Total by Primary Sponsor,,7,0,0,0,0,0,0
003003 BlueFin Robotics,Contracts,On Campus,4,"10,958",,,"11,644","6,608","29,209"
003003 BlueFin Robotics,Total by Primary Sponsor,,4,"10,958",,,"11,644","6,608","29,209"
003106 Halliburton Services,Contracts,On Campus,8,"14,759","30,871","7,107","31,526","14,452","98,716"
003106 Halliburton Services,Total by Primary Sponsor,,8,"14,759","30,871","7,107","31,526","14,452","98,716"
003120 Hewlett-Packard,Contracts,On Campus,39,0,0,0,-323,0,-323
003120 Hewlett-Packard,Total by Primary Sponsor,,39,0,0,0,-323,0,-323
003141 Hamamatsu Photonics Kk,Contracts,On Campus,11,,"46,104","16,832","10,591","41,175","114,702"
003141 Hamamatsu Photonics Kk,Total by Primary Sponsor,,11,,"46,104","16,832","10,591","41,175","114,702"
"003164 Honda R&D Company, Limited",Contracts,On Campus,44,"7,933","245,243","69,647","183,809","257,682","764,313"
"003164 Honda R&D Company, Limited",Total by Primary Sponsor,,44,"7,933","245,243","69,647","183,809","257,682","764,313"
003165 Honeywell,Contracts,On Campus,8,"32,524",460,168,"33,277","25,316","91,745"
003165 Honeywell,Total by Primary Sponsor,,8,"32,524",460,168,"33,277","25,316","91,745"
003188 Hydro Aluminum A.S.,Contracts,On Campus,11,"26,747","26,940","9,370","21,955","34,421","119,433"
003188 Hydro Aluminum A.S.,Total by Primary Sponsor,,11,"26,747","26,940","9,370","21,955","34,421","119,433"
003222 Instituto Nazionale di Fisica Nucleare,Contracts,On Campus,5,"12,281",,,"10,803","6,877","29,960"
003222 Instituto Nazionale di Fisica Nucleare,Total by Primary Sponsor,,5,"12,281",,,"10,803","6,877","29,960"
003256 Intel Corporation,Contracts,On Campus,68,"18,661","6,465","2,187","64,831","17,341","109,485"
003256 Intel Corporation,Grants,On Campus,5,,0,0,0,0,0
003256 Intel Corporation,Total by Primary Sponsor,,73,"18,661","6,465","2,187","64,831","17,341","109,485"
003480 Liberty Mutual Insurance Company,Contracts,On Campus,21,0,0,0,0,0,0
003480 Liberty Mutual Insurance Company,Total by Primary Sponsor,,21,0,0,0,0,0,0
003526 Loral Systems Group,Contracts,On Campus,6,0,0,0,"10,000","5,600","15,600"
003526 Loral Systems Group,Total by Primary Sponsor,,6,0,0,0,"10,000","5,600","15,600"
003562 Mazda Motor Corporation,Contracts,On Campus,8,"29,304","20,939","7,643","23,590","33,528","115,003"
003562 Mazda Motor Corporation,Total by Primary Sponsor,,8,"29,304","20,939","7,643","23,590","33,528","115,003"
"003569 Matsushita Electric Industrial
Company, Limited",Grants,On Campus,11,0,0,0,0,0,0
"003569 Matsushita Electric Industrial
Company, Limited",Total by Primary Sponsor,,11,0,0,0,0,0,0
"003576 Medtronic, Incorporated",Contracts,On Campus,8,0,72,26,"-2,103",55,"-1,949"
"003576 Medtronic, Incorporated",Total by Primary Sponsor,,8,0,72,26,"-2,103",55,"-1,949"
"003595 Minnesota Mining & Manufacturing
Company (3M)",Contracts,On Campus,15,"27,278","88,437","31,888","124,821","142,241","414,665"
"003595 Minnesota Mining & Manufacturing
Company (3M)",Total by Primary Sponsor,,15,"27,278","88,437","31,888","124,821","142,241","414,665"
003610 Mitre Corporation,Contracts,On Campus,14,"18,360","10,308","3,763","11,961","17,115","61,507"
003610 Mitre Corporation,Total by Primary Sponsor,,14,"18,360","10,308","3,763","11,961","17,115","61,507"
003628 Mitsubishi,Contracts,On Campus,8,"30,441","8,081","2,511","29,446","21,739","92,218"
003628 Mitsubishi,Total by Primary Sponsor,,8,"30,441","8,081","2,511","29,446","21,739","92,218"
003629 Mitsubishi Heavy Industries Limited,Contracts,On Campus,47,"41,815","76,681","26,218","117,579","123,770","386,063"
003629 Mitsubishi Heavy Industries Limited,Total by Primary Sponsor,,47,"41,815","76,681","26,218","117,579","123,770","386,063"
"003658 McKinsey and Company, Incorporate",Contracts,On Campus,7,0,0,0,0,0,0
"003658 McKinsey and Company, Incorporate",Total by Primary Sponsor,,7,0,0,0,0,0,0
003669 Mitsubishi Materials Corporation,Contracts,On Campus,9,"8,311","7,420","2,708","12,340","13,354","44,134"
003669 Mitsubishi Materials Corporation,Total by Primary Sponsor,,9,"8,311","7,420","2,708","12,340","13,354","44,134"
003705 DO NOT USE Multi Group Sponsor,Contracts,On Campus,2,,,,0,,0
003705 DO NOT USE Multi Group Sponsor,Total by Primary Sponsor,,2,,,,0,,0
"003710 DO NOT USE Multi Sponsored
Projects-Industrial",Contracts,On Campus,180,0,0,0,0,0,0
"003710 DO NOT USE Multi Sponsored
Projects-Industrial",Grants,On Campus,12,0,0,0,0,0,0
"003710 DO NOT USE Multi Sponsored
Projects-Industrial",Total by Primary Sponsor,,192,0,0,0,0,0,0
003735 Neptune Technologies,Contracts,On Campus,7,,0,0,0,0,0
003735 Neptune Technologies,Total by Primary Sponsor,,7,,0,0,0,0,0
003741 National Grid USA,Contracts,On Campus,4,"5,328",,,0,"2,984","8,312"
003741 National Grid USA,Total by Primary Sponsor,,4,"5,328",,,0,"2,984","8,312"
003743 CSK Corporation,Contracts,On Campus,34,0,0,0,0,0,0
003743 CSK Corporation,Total by Primary Sponsor,,34,0,0,0,0,0,0
003824 Denso Corporation,Contracts,On Campus,1,,,,,,0
003824 Denso Corporation,Total by Primary Sponsor,,1,,,,,,0
003830 Nippon Telegraph & Telephone,Contracts,On Campus,625,0,"37,343","12,797",-272,"26,013","75,881"
003830 Nippon Telegraph & Telephone,Total by Primary Sponsor,,625,0,"37,343","12,797",-272,"26,013","75,881"
"003834 Nissan Motor Co., Ltd.",Contracts,On Campus,26,"45,565","86,835","22,375","61,563","90,732","307,071"
"003834 Nissan Motor Co., Ltd.",Total by Primary Sponsor,,26,"45,565","86,835","22,375","61,563","90,732","307,071"
003842 Nickelodeon,Grants,On Campus,6,"4,873","10,085","3,681","7,191","11,806","37,636"
003842 Nickelodeon,Total by Primary Sponsor,,6,"4,873","10,085","3,681","7,191","11,806","37,636"
003847 Nokia Inc.,Contracts,On Campus,55,"11,988","3,757",373,"74,817","44,400","135,335"
003847 Nokia Inc.,Total by Primary Sponsor,,55,"11,988","3,757",373,"74,817","44,400","135,335"
003865 Nortel Networks,Contracts,On Campus,19,0,0,0,0,0,0
003865 Nortel Networks,Total by Primary Sponsor,,19,0,0,0,0,0,0
003879 Northrop Grumman Corporation,Contracts,On Campus,82,"22,409","94,615","32,016","29,748","80,927","259,715"
003879 Northrop Grumman Corporation,Total by Primary Sponsor,,82,"22,409","94,615","32,016","29,748","80,927","259,715"
"003920 Exxon-Mobil Research and
Engineering Corporation",Contracts,On Campus,7,"15,790","25,622","8,662","18,167","32,165","100,406"
"003920 Exxon-Mobil Research and
Engineering Corporation",Total by Primary Sponsor,,7,"15,790","25,622","8,662","18,167","32,165","100,406"
"003964 Accenture, LLP",Contracts,On Campus,77,"314,257","101,992","35,244","296,446","273,229","1,021,168"
"003964 Accenture, LLP",Total by Primary Sponsor,,77,"314,257","101,992","35,244","296,446","273,229","1,021,168"
003999 Multi-Source,Contracts,On Campus,62,0,0,0,"3,799","2,127","5,926"
003999 Multi-Source,Grants,On Campus,57,"29,872","1,121,118","376,039","449,134","1,040,763","3,016,925"
003999 Multi-Source,Total by Primary Sponsor,,119,"29,872","1,121,118","376,039","452,933","1,042,890","3,022,852"
"004012 Oracle America, Inc.",Contracts,On Campus,5,"29,970","4,747",,"20,721","19,441","74,879"
"004012 Oracle America, Inc.",Total by Primary Sponsor,,5,"29,970","4,747",,"20,721","19,441","74,879"
"004022 Osram Sylvania, Incorporated",Contracts,On Campus,5,,"58,669","20,928","3,753","46,676","130,025"
"004022 Osram Sylvania, Incorporated",Grants,On Campus,8,989,59,22,0,554,"1,624"
"004022 Osram Sylvania, Incorporated",Total by Primary Sponsor,,13,989,"58,728","20,949","3,753","47,230","131,649"
004042 Pall Corporation,Contracts,On Campus,4,,"13,726","5,010",,"10,492","29,228"
004042 Pall Corporation,Total by Primary Sponsor,,4,,"13,726","5,010",,"10,492","29,228"
004090 Pfizer Incorporated,Contracts,On Campus,80,"31,687","296,495","106,624","178,894","330,567","944,267"
004090 Pfizer Incorporated,Total by Primary Sponsor,,80,"31,687","296,495","106,624","178,894","330,567","944,267"
004093 Philip Morris Incorporated,Contracts,On Campus,52,"25,314","221,881","80,987","117,390","242,690","688,262"
004093 Philip Morris Incorporated,Total by Primary Sponsor,,52,"25,314","221,881","80,987","117,390","242,690","688,262"
004138 Procter & Gamble Company,Contracts,On Campus,16,"26,785","17,692","3,239","28,563","30,617","106,896"
004138 Procter & Gamble Company,Total by Primary Sponsor,,16,"26,785","17,692","3,239","28,563","30,617","106,896"
004148 Price Waterhouse,Contracts,On Campus,8,0,0,0,0,0,0
004148 Price Waterhouse,Total by Primary Sponsor,,8,0,0,0,0,0,0
004150 Pratt & Whitney,Contracts,On Campus,23,"10,656",-348,315,"8,765","7,280","26,669"
004150 Pratt & Whitney,Total by Primary Sponsor,,23,"10,656",-348,315,"8,765","7,280","26,669"
004184 Saudi Aramco,Contracts,On Campus,16,"11,988","77,403","24,890","32,016","69,884","216,181"
004184 Saudi Aramco,Total by Primary Sponsor,,16,"11,988","77,403","24,890","32,016","69,884","216,181"
004203 SAP AG,Contracts,On Campus,25,0,0,0,0,0,0
004203 SAP AG,Total by Primary Sponsor,,25,0,0,0,0,0,0
004210 Raytheon Company,Contracts,On Campus,21,"18,337","19,250","6,185","30,437","32,720","106,929"
004210 Raytheon Company,Total by Primary Sponsor,,21,"18,337","19,250","6,185","30,437","32,720","106,929"
004237 Samsung,Contracts,On Campus,20,"15,777","47,305","16,064","28,748","48,945","156,840"
004237 Samsung,Total by Primary Sponsor,,20,"15,777","47,305","16,064","28,748","48,945","156,840"
004240 Research Corporation,Grants,On Campus,1,,,,,,0
004240 Research Corporation,Total by Primary Sponsor,,1,,,,,,0
004265 Statoil Hydro ASA,Grants,On Campus,10,0,0,0,0,0,0
004265 Statoil Hydro ASA,Total by Primary Sponsor,,10,0,0,0,0,0,0
004305 Schlumberger - Doll Research Cente,Contracts,On Campus,19,"42,053","130,376","45,389","210,195","166,957","594,969"
004305 Schlumberger - Doll Research Cente,Total by Primary Sponsor,,19,"42,053","130,376","45,389","210,195","166,957","594,969"
004329 Semiconductor Research Corporatio,Contracts,On Campus,113,"118,166","43,871","15,252","209,759","169,735","556,783"
004329 Semiconductor Research Corporatio,Total by Primary Sponsor,,113,"118,166","43,871","15,252","209,759","169,735","556,783"
004332 Shell Global Solutions,Contracts,On Campus,42,"35,191","137,899","45,352","112,891","142,622","473,956"
004332 Shell Global Solutions,Total by Primary Sponsor,,42,"35,191","137,899","45,352","112,891","142,622","473,956"
004334 Siemens Ag,Contracts,On Campus,54,0,"11,443","4,177","16,221","16,823","48,663"
004334 Siemens Ag,Total by Primary Sponsor,,54,0,"11,443","4,177","16,221","16,823","48,663"
004381 Sumitomo Heavy Industries Limited,Contracts,On Campus,29,"99,185","31,069","10,325","179,905","94,056","414,539"
004381 Sumitomo Heavy Industries Limited,Total by Primary Sponsor,,29,"99,185","31,069","10,325","179,905","94,056","414,539"
"004436 Texas Instruments, Incorporated",Contracts,On Campus,26,0,0,0,"17,203",0,"17,203"
"004436 Texas Instruments, Incorporated",Total by Primary Sponsor,,26,0,0,0,"17,203",0,"17,203"
004452 The Timken Company,Contracts,On Campus,7,"5,328","43,700","15,951","6,783","37,479","109,241"
004452 The Timken Company,Total by Primary Sponsor,,7,"5,328","43,700","15,951","6,783","37,479","109,241"
"004534 Samsung Advanced Institute of
Technology",Contracts,On Campus,134,"483,548","596,204","208,725","887,581","921,157","3,097,216"
"004534 Samsung Advanced Institute of
Technology",Grants,On Campus,3,,,,"5,493","3,076","8,569"
"004534 Samsung Advanced Institute of
Technology",Total by Primary Sponsor,,137,"483,548","596,204","208,725","893,074","924,233","3,105,785"
004565 Sikorsky Aircraft,Contracts,On Campus,6,"15,828",968,353,"11,101","9,030","37,279"
004565 Sikorsky Aircraft,Total by Primary Sponsor,,6,"15,828",968,353,"11,101","9,030","37,279"
004590 Sumitomo Electric Industries,Contracts,On Campus,7,"5,803","30,941","10,614","36,457","44,970","128,785"
004590 Sumitomo Electric Industries,Total by Primary Sponsor,,7,"5,803","30,941","10,614","36,457","44,970","128,785"
004619 Unilever,Contracts,On Campus,8,0,0,0,0,0,0
004619 Unilever,Total by Primary Sponsor,,8,0,0,0,0,0,0
004623 United Technologies Corporation,Contracts,On Campus,31,"2,532","29,228","10,668","5,095","25,013","72,537"
004623 United Technologies Corporation,Total by Primary Sponsor,,31,"2,532","29,228","10,668","5,095","25,013","72,537"
004635 United Parcel Service,Contracts,On Campus,25,0,0,0,0,0,0
004635 United Parcel Service,Total by Primary Sponsor,,25,0,0,0,0,0,0
004705 Visteon Automotive Systems,Contracts,On Campus,6,,0,0,0,0,0
004705 Visteon Automotive Systems,Total by Primary Sponsor,,6,,0,0,0,0,0
004719 Suruga Bank,Contracts,On Campus,44,"13,490","145,597","31,492","15,387","109,291","315,257"
004719 Suruga Bank,Total by Primary Sponsor,,44,"13,490","145,597","31,492","15,387","109,291","315,257"
004737 The Carnegie Corporation of New Yo,Grants,On Campus,15,"30,000","175,143","54,759","59,342","47,990","367,234"
004737 The Carnegie Corporation of New Yo,Total by Primary Sponsor,,15,"30,000","175,143","54,759","59,342","47,990","367,234"
"004785 Westinghouse Electric Company, LL",Grants,On Campus,2,,,,40,,40
"004785 Westinghouse Electric Company, LL",Total by Primary Sponsor,,2,,,,40,,40
"004793 The Weber Group, Inc.",Contracts,On Campus,6,0,0,0,0,0,0
"004793 The Weber Group, Inc.",Total by Primary Sponsor,,6,0,0,0,0,0,0
"004817 Millennium Pharmaceuticals, Incorporated",Contracts,On Campus,3,,,,"126,666","70,933","197,599"
"004817 Millennium Pharmaceuticals, Incorporated",Grants,On Campus,10,"37,986","23,377","4,693","74,262","59,980","200,299"
"004817 Millennium Pharmaceuticals, Incorporated",Total by Primary Sponsor,,13,"37,986","23,377","4,693","200,928","130,913","397,898"
"004917 State Farm Mutual Auto. Insurance, Co.",Contracts,On Campus,9,0,"8,136","1,407","1,436","5,540","16,519"
"004917 State Farm Mutual Auto. Insurance, Co.",Total by Primary Sponsor,,9,0,"8,136","1,407","1,436","5,540","16,519"
"004937 Microelectronics Advanced Researc
Corp.",Contracts,On Campus,20,"155,684","63,145","20,021","215,690","188,916","643,455"
"004937 Microelectronics Advanced Researc
Corp.",Total by Primary Sponsor,,20,"155,684","63,145","20,021","215,690","188,916","643,455"
004939 Glaxo Smith Kline,Contracts,On Campus,22,"12,425","52,706","15,293","12,423","45,596","138,443"
004939 Glaxo Smith Kline,Total by Primary Sponsor,,22,"12,425","52,706","15,293","12,423","45,596","138,443"
004999 Multi-Sponsored Consortium,Contracts,On Campus,"2,665","2,210,534","2,965,092","1,001,347","4,711,350","4,346,925","15,235,248"
004999 Multi-Sponsored Consortium,Grants,On Campus,23,0,0,0,"4,642","2,600","7,242"
004999 Multi-Sponsored Consortium,Total by Primary Sponsor,,"2,688","2,210,534","2,965,092","1,001,347","4,715,993","4,349,524","15,242,490"
"005044 American Association For Cancer
Research",Grants,On Campus,7,0,"26,380","9,629","43,824","7,967","87,800"
"005044 American Association For Cancer
Research",Total by Primary Sponsor,,7,0,"26,380","9,629","43,824","7,967","87,800"
"005050 American Cancer Society, Incorpora",Grants,On Campus,7,,"15,047","5,014","30,708","10,149","60,919"
"005050 American Cancer Society, Incorpora",Total by Primary Sponsor,,7,,"15,047","5,014","30,708","10,149","60,919"
005065 American Heart Association,Grants,On Campus,11,,"62,121","22,186","27,558","18,875","130,740"
005065 American Heart Association,Total by Primary Sponsor,,11,,"62,121","22,186","27,558","18,875","130,740"
005075 American Iron And Steel Institute,Contracts,On Campus,11,"13,533","16,663","5,086","77,227","58,878","171,388"
005075 American Iron And Steel Institute,Total by Primary Sponsor,,11,"13,533","16,663","5,086","77,227","58,878","171,388"
005077 Philips Healthcare,Contracts,On Campus,6,,"43,869","16,012",307,"33,705","93,894"
005077 Philips Healthcare,Total by Primary Sponsor,,6,,"43,869","16,012",307,"33,705","93,894"
005150 Anonymous Foundation,Grants,Off Campus,11,,"40,873","14,001","53,721","7,727","116,322"
005150 Anonymous Foundation,Grants,On Campus,54,,"31,985","11,674","554,725","22,889","621,273"
005150 Anonymous Foundation,Total by Primary Sponsor,,65,,"72,857","25,675","608,446","30,616","737,594"
005157 ASML,Contracts,On Campus,10,"64,960","20,067","6,159","75,525","58,587","225,299"
005157 ASML,Total by Primary Sponsor,,10,"64,960","20,067","6,159","75,525","58,587","225,299"
005164 Ferrari S.p.A.,Contracts,On Campus,21,-609,"11,952","3,920","3,714","10,587","29,563"
